PlanName,BeamSetName,TemplateName,TreatmentTechnique,PatientPosition,BeamName,BeamDescription,GantryStart,GantryStop,ArcDirection,CollimatorAngle,CouchAngle)
HFS BeamTemplate-VMAT,VMAT_Brai_LefPos,Brai LeftPosterior 5Arc,VMAT,HeadFirstSupine,4_<SITE>_Arc_c270,4 VMA: CCW Arc,172,52,CounterClockwise,345,270
HFS BeamTemplate-VMAT,VMAT_Brai_LefPos,Brai LeftPosterior 5Arc,VMAT,HeadFirstSupine,5_<SITE>_Arc_c060,5 VMA: CCW Arc,312,252,CounterClockwise,5,60
HFS BeamTemplate-VMAT,VMAT_Brai_RigAnt,Brai RightAnterior 5Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,250,10,Clockwise,270,0
HFS BeamTemplate-VMAT,VMAT_Brai_RigAnt,Brai RightAnterior 5Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c030,2 VMA: CCW Arc,8,248,CounterClockwise,25,30
HFS BeamTemplate-VMAT,VMAT_Brai_RigAnt,Brai RightAnterior 5Arc,VMAT,HeadFirstSupine,3_<SITE>_Arc_c060,3 VMA: CW Arc,252,12,Clockwise,355,60
HFS BeamTemplate-VMAT,VMAT_Brai_RigAnt,Brai RightAnterior 5Arc,VMAT,HeadFirstSupine,4_<SITE>_Arc_c090,4 VMA: CCW Arc,14,254,CounterClockwise,345,90
HFS BeamTemplate-VMAT,VMAT_Brai_RigAnt,Brai RightAnterior 5Arc,VMAT,HeadFirstSupine,5_<SITE>_Arc_c300,5 VMA: CW Arc,6,96,Clockwise,5,300
HFS BeamTemplate-VMAT,VMAT_Brai_RigMid,Brai RightMid 5Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,220,340,Clockwise,15,0
HFS BeamTemplate-VMAT,VMAT_Brai_RigMid,Brai RightMid 5Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c030,2 VMA: CCW Arc,342,222,CounterClockwise,25,30
HFS BeamTemplate-VMAT,VMAT_Brai_RigMid,Brai RightMid 5Arc,VMAT,HeadFirstSupine,3_<SITE>_Arc_c060,3 VMA: CW Arc,244,334,Clockwise,355,60
HFS BeamTemplate-VMAT,VMAT_Brai_RigMid,Brai RightMid 5Arc,VMAT,HeadFirstSupine,4_<SITE>_Arc_c090,4 VMA: CCW Arc,338,218,CounterClockwise,345,90
HFS BeamTemplate-VMAT,VMAT_Brai_RigMid,Brai RightMid 5Arc,VMAT,HeadFirstSupine,5_<SITE>_Arc_c300,5 VMA: CW Arc,346,76,Clockwise,5,300
HFS BeamTemplate-VMAT,VMAT_Brai_RigPos,Brai RightPosterior 5Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,190,310,Clockwise,15,0
HFS BeamTemplate-VMAT,VMAT_Brai_RigPos,Brai RightPosterior 5Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c030,2 VMA: CCW Arc,312,192,CounterClockwise,25,30
HFS BeamTemplate-VMAT,VMAT_Brai_RigPos,Brai RightPosterior 5Arc,VMAT,HeadFirstSupine,3_<SITE>_Arc_c060,3 VMA: CCW Arc,314,194,CounterClockwise,25,60
HFS BeamTemplate-VMAT,VMAT_Brai_RigPos,Brai RightPosterior 5Arc,VMAT,HeadFirstSupine,4_<SITE>_Arc_c090,4 VMA: CCW Arc,308,188,CounterClockwise,345,90
